,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Harry,Ron,Hermione,Hagrid,Minerva McGonagall,Voldemort,Professor Quirrell,Lily Potter,James Potter
6,Professor Quirrell meets Voldemort,1989-07-02,1989-07-02,T,3rd Person,211,211,,,,,,"Professor Quirrell teaches Muggle Studies for a year at Hogwarts, then takes a year off to study in Albania. It is inferred that he met Voldemort during this year. ""‘He is with me wherever I go,’ said Quirrell quietly. ‘I met him when I travelled around the world.""",,,,,,T,T,,
7,Dudley’s 11th birthday party,1990-06-23,1990-06-23,F,3rd Person,19,27,,,,,,"Dudley's birthday was on a ""very sunny Saturday"" (24), and he is older than Harry, as Harry has lived with ""He’d lived with the Dursleys almost ten years, ten miserable years, as long as he could remember, ever since he’d been a baby” (27)",T,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,28,28,,,,,,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",T,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,32,33,,,,,,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",T,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,33,33,,,,,,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",T,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,34,34,,,,,,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",T,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,34,34,,,,,,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",T,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,34,34,,,,,,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",T,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,36,36,,,,,,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",T,,,,,,,,
9,Harry's 11th Birthday,1990-07-31,1990-07-31,F,3rd Person,36,36,,,,,,"Harry thinks “then tomorrow, Tuesday, was Harry’s eleventh birthday"" which led to the understanding that the year was 1990. However, several sources argue that Harry's 11th birthday took place in 1991 which is solidified by later texts. For the purpose of this timegraph we have chosen to use the 1990 calendar. His birthday is also the day Voldemort/Quirrell breaks into Gringotts.",T,,,,,,,,
9,Harry's 11th Birthday,1990-07-31,1990-07-31,F,3rd Person,38,38,,,,,,"Harry thinks “then tomorrow, Tuesday, was Harry’s eleventh birthday"" which led to the understanding that the year was 1990. However, several sources argue that Harry's 11th birthday took place in 1991 which is solidified by later texts. For the purpose of this timegraph we have chosen to use the 1990 calendar. His birthday is also the day Voldemort/Quirrell breaks into Gringotts.",T,,,,,,,,
9,Harry's 11th Birthday,1990-07-31,1990-07-31,F,3rd Person,40,40,,,,,,"Harry thinks “then tomorrow, Tuesday, was Harry’s eleventh birthday"" which led to the understanding that the year was 1990. However, several sources argue that Harry's 11th birthday took place in 1991 which is solidified by later texts. For the purpose of this timegraph we have chosen to use the 1990 calendar. His birthday is also the day Voldemort/Quirrell breaks into Gringotts.",T,,,,,,,,
9,Harry's 11th Birthday,1990-07-31,1990-07-31,F,3rd Person,105,105,,,,,,"Harry thinks “then tomorrow, Tuesday, was Harry’s eleventh birthday"" which led to the understanding that the year was 1990. However, several sources argue that Harry's 11th birthday took place in 1991 which is solidified by later texts. For the purpose of this timegraph we have chosen to use the 1990 calendar. His birthday is also the day Voldemort/Quirrell breaks into Gringotts.",T,,,,,,,,
10,Harry Meets Professor Quirrell,1990-07-31,1990-07-31,F,3rd Person,55,55,,,,,,"“‘Professor Quirrell!’ said Hagrid. ‘Harry, Professor Quirrell will be one of your teachers at Hogwarts.’ ‘P-P-Potter,’ stammered Professor Quirrell, grasping Harry’s hand, ‘c-can’t t-tell you how p-pleased I am to meet you.’” (55);
“He’d seen Quirrell there that very day, shaken hands with him in the Leaky Cauldron.” (211)
",T,,,T,,T,T,,
10,Harry Meets Professor Quirrell,1990-07-31,1990-07-31,F,3rd Person,211,211,,,,,,"“‘Professor Quirrell!’ said Hagrid. ‘Harry, Professor Quirrell will be one of your teachers at Hogwarts.’ ‘P-P-Potter,’ stammered Professor Quirrell, grasping Harry’s hand, ‘c-can’t t-tell you how p-pleased I am to meet you.’” (55);
“He’d seen Quirrell there that very day, shaken hands with him in the Leaky Cauldron.” (211)
",T,,,T,,T,T,,
11,Harry enters Diagon Alley,1990-07-31,1990-07-31,F,3rd Person,43,43,,,,,,"While Hagrid does write that he is “taking [Harry] to buy his things tomorrow"" it is already past midnight, so technically sleeping until “tomorrow"" would make the date they arrive at Diagon Alley July 31. ",T,,,T,,,,,
11,Harry enters Diagon Alley,1990-07-31,1990-07-31,F,3rd Person,56,56,,,,,,"While Hagrid does write that he is “taking [Harry] to buy his things tomorrow"" it is already past midnight, so technically sleeping until “tomorrow"" would make the date they arrive at Diagon Alley July 31. ",T,,,T,,,,,
12,Hagrid removes Philosopher’s Stone from Gringotts,1990-07-31,1990-07-31,F,3rd Person,50,50,,,,,,"Hagrid and Harry visit Gringotts together when travelling to Diagon Alley; ""‘An’ I’ve also got a letter here from Professor Dumbledore,’ said Hagrid importantly, throwing out his chest. ‘It’s about the You-Know-What in vault seven hundred and thirteen.’""(57)
 ",T,,,T,,,,,
12,Hagrid removes Philosopher’s Stone from Gringotts,1990-07-31,1990-07-31,F,3rd Person,57,57,,,,,,"Hagrid and Harry visit Gringotts together when travelling to Diagon Alley; ""‘An’ I’ve also got a letter here from Professor Dumbledore,’ said Hagrid importantly, throwing out his chest. ‘It’s about the You-Know-What in vault seven hundred and thirteen.’""(57)
 ",T,,,T,,,,,
12,Hagrid removes Philosopher’s Stone from Gringotts,1990-07-31,1990-07-31,F,3rd Person,59,59,,,,,,"Hagrid and Harry visit Gringotts together when travelling to Diagon Alley; ""‘An’ I’ve also got a letter here from Professor Dumbledore,’ said Hagrid importantly, throwing out his chest. ‘It’s about the You-Know-What in vault seven hundred and thirteen.’""(57)
 ",T,,,T,,,,,
13,Voldemort attempts to steal Philosopher’s Stone,1990-07-31,1990-07-31,F,3rd Person,80,80,,,,,,"Ron first informs Harry of the break-in when they are on their way to Hogwarts on September 1st: ""Did you hear about Gringotts? It’s been all over the Daily Prophet, but I don’t suppose you get that with the Muggles– someone tried to rob a high-security vault.’"" Harry then tells Hagrid it happened on his birthday.",,,,,,T,,,
13,Voldemort attempts to steal Philosopher’s Stone,1990-07-31,1990-07-31,F,3rd Person,105,106,,,,,,"Ron first informs Harry of the break-in when they are on their way to Hogwarts on September 1st: ""Did you hear about Gringotts? It’s been all over the Daily Prophet, but I don’t suppose you get that with the Muggles– someone tried to rob a high-security vault.’"" Harry then tells Hagrid it happened on his birthday.",,,,,,T,,,
13,Voldemort attempts to steal Philosopher’s Stone,1990-07-31,1990-07-31,F,3rd Person,211,211,,,,,,"Ron first informs Harry of the break-in when they are on their way to Hogwarts on September 1st: ""Did you hear about Gringotts? It’s been all over the Daily Prophet, but I don’t suppose you get that with the Muggles– someone tried to rob a high-security vault.’"" Harry then tells Hagrid it happened on his birthday.",,,,,,T,,,
14,Harry arrives at Hogwarts,1990-09-01,1990-09-01,F,3rd Person,66,66,,,,,,"Hagrid gives Harry his ""ticket fer Hogwarts,’ he said. ‘First o’ September – King’s Cross” (66).",T,,,,,,,,
14,Harry arrives at Hogwarts,1990-09-01,1990-09-01,F,3rd Person,68,68,,,,,,"Hagrid gives Harry his ""ticket fer Hogwarts,’ he said. ‘First o’ September – King’s Cross” (66).",T,,,,,,,,
14,Harry arrives at Hogwarts,1990-09-01,1990-09-01,F,3rd Person,84,85,,,,,,"Hagrid gives Harry his ""ticket fer Hogwarts,’ he said. ‘First o’ September – King’s Cross” (66).",T,,,,,,,,
15,Harry meets Snape/ has tea with Hagrid,1990-09-07,1990-09-07,F,3rd Person,100,101,,,,,,"Hagrid invites Harry and Ron to have a cup of tea with him because he ""know[s] you get Friday afternoons off [...] I want to hear about your first week,"" which indicates that they have only been in classes for a week. This is further supported by the fact that ""Friday was an important day for Harry and Ron. They finally managed to find their way down to the Great Hall for breakfast without getting lost once.""",T,,,T,,,,,
16,Harry becomes Gryffindor seeker,1990-09-13,1990-09-13,F,3rd Person,107,107,,,,,,"The date we originally learn ""Flying lessons would be starting on Thursday – and Gryffindor and Slytherin would be learning together."" is approximate, however Harry thinks to himself that ""he hadn't even lasted two weeks"" (112) which infers that it takes place sometime in the second week of classes",T,,,,,,,,
16,Harry becomes Gryffindor seeker,1990-09-13,1990-09-13,F,3rd Person,108,108,,,,,,"""Flying lessons would be starting on Thursday – and Gryffindor and Slytherin would be learning together.""; ""At breakfast on Thursday she bored them all stupid with flying tips she’d got out of a library book called Quidditch through the Ages.""",T,,,,,,,,
16,Harry becomes Gryffindor seeker,1990-09-13,1990-09-13,F,3rd Person,112,113,,,,,,"""Flying lessons would be starting on Thursday – and Gryffindor and Slytherin would be learning together.""; ""At breakfast on Thursday she bored them all stupid with flying tips she’d got out of a library book called Quidditch through the Ages.""",T,,,,,,,,
17,The Golden Trio Meets Fluffy,1990-09-13,1990-09-14,F,3rd Person,115,115,,,,,,"The trio leave the common room ""Half past eleven"" (115), which means they meet Fluffy some time around midnight. We have extended the date this occurs to reflect the hour of the day. It happens on the same day they have tea with Hagrid.",T,T,T,,,,,,
18,Harry receives Nimbus 2000,1990-09-14,1990-09-14,F,3rd Person,121,122,,,,,,"""Malfoy couldn’t believe his eyes when he saw that Harry and Ron were still at Hogwarts next day"" infers that Harry receives the Nimbus 2000 the day after they meet Fluffy.",T,,,,T,,,,
19,Troll in the dungeon,1990-10-31,1990-10-31,F,3rd Person,126,126,,,,,,"We know Harry has been at Hogwarts for at least two months (126), and ""on Hallowe’en morning they woke to the delicious smell of baking pumpkin wafting through the corridors” (126).
",T,T,T,,,,T,,
19,Troll in the dungeon,1990-10-31,1990-10-31,F,3rd Person,127,132,,,,,,"We know Harry has been at Hogwarts for at least two months (126), and ""on Hallowe’en morning they woke to the delicious smell of baking pumpkin wafting through the corridors” (126).
",T,T,T,,,,T,,
19,Troll in the dungeon,1990-10-31,1990-10-31,F,3rd Person,133,133,,,,,,"We know Harry has been at Hogwarts for at least two months (126), and ""on Hallowe’en morning they woke to the delicious smell of baking pumpkin wafting through the corridors” (126).
",T,T,T,,,,T,,
19,Troll in the dungeon,1990-10-31,1990-10-31,F,3rd Person,210,210,,,,,,"We know Harry has been at Hogwarts for at least two months (126), and ""on Hallowe’en morning they woke to the delicious smell of baking pumpkin wafting through the corridors” (126). Voldemort chastises Harry during their confrontation: ""You’re too nosy to live, Potter. Scurrying around the school at Hallowe’en like that"" (210).",T,T,T,,,,T,,
20,Harry's first quidditch game,1990-11-10,1990-11-10,T,3rd Person,133,134,,,,,,"Chapter Eleven occurs ""as they entered November"" (133), and Harry, Ron, and Hermione were ""out in the freezing courtyard"" (134) the day before the quidditch match, which takes place on a Saturday. It's possible the match could take place on the 3rd, but the 10th is more likely. ",T,,,,,,,,
20,Harry's first quidditch game,1990-11-10,1990-11-10,T,3rd Person,136,141,,,,,,"Chapter Eleven occurs ""as they entered November"" (133), and Harry, Ron, and Hermione were ""out in the freezing courtyard"" (134) the day before the quidditch match, which takes place on a Saturday. It's possible the match could take place on the 3rd, but the 10th is more likely. ",T,,,,,,,,
20,Harry's first quidditch game,1990-11-10,1990-11-10,T,3rd Person,209,209,,,,,,"Chapter Eleven occurs ""as they entered November"" (133), and Harry, Ron, and Hermione were ""out in the freezing courtyard"" (134) the day before the quidditch match, which takes place on a Saturday. It's possible the match could take place on the 3rd, but the 10th is more likely. ",T,,,,,,,,
21,Harry receives invisibility cloak ,1990-12-25,1990-12-25,F,3rd Person,148,148,,,,,,"Harry receives the cloak on Christmas Day: “‘Happy Christmas,’ said Ron sleepily as Harry scrambled out of bed and pulled on his dressing-gown.” (147)",T,,,,,,,,
22,Harry discovers the Mirror of Erised,1990-12-25,1990-12-27,F,3rd Person,152,154,,,,,,"Harry first discovers the mirror after receiving the cloak on Christmas Day and using it that night. He then takes Ron remarking that ""they had to walk much more slowly next night."" (154); “Harry being out of bed, roaming the school three nights in a row” (158) is told the day before term started when Hermione returns (which is assumed to be a Sunday).",T,,,,,,,,
22,Harry discovers the Mirror of Erised,1990-12-25,1990-12-27,F,3rd Person,156,156,,,,,,"Harry first discovers the mirror after receiving the cloak on Christmas Day and using it that night. He then takes Ron remarking that ""they had to walk much more slowly next night."" (154); “Harry being out of bed, roaming the school three nights in a row” (158) is told the day before term started when Hermione returns (which is assumed to be a Sunday).",T,T,,,,,,,
22,Harry discovers the Mirror of Erised,1990-12-25,1990-12-27,F,3rd Person,158,158,,,,,,"Harry first discovers the mirror after receiving the cloak on Christmas Day and using it that night. He then takes Ron remarking that ""they had to walk much more slowly next night."" (154); “Harry being out of bed, roaming the school three nights in a row” (158) is told the day before term started when Hermione returns (which is assumed to be a Sunday).",T,,,,,,,,
22,Harry discovers the Mirror of Erised,1990-12-25,1990-12-27,F,3rd Person,166,166,,,,,,"Harry first discovers the mirror after receiving the cloak on Christmas Day and using it that night. He then takes Ron remarking that ""they had to walk much more slowly next night."" (154); “Harry being out of bed, roaming the school three nights in a row” (158) is told the day before term started when Hermione returns (which is assumed to be a Sunday).",T,,,,,,,,
23,Hagrid gets a dragon egg,1991-04-18,1991-04-18,T,3rd Person,170,170,,,,,,"‘Won it,’ said Hagrid. ‘Las’ night. I was down in the village havin’ a few drinks an’ got into a game o’ cards with a stranger. Think he was quite glad ter get rid of it, ter be honest.’ (170); This event occurs during or right after the Easter Holidays which occur ""ten weeks"" (167) before exams at the end of June.",,,,T,,T,T,,
23,Hagrid gets a dragon egg,1991-04-18,1991-04-18,T,3rd Person,193,193,,,,,,"‘Won it,’ said Hagrid. ‘Las’ night. I was down in the village havin’ a few drinks an’ got into a game o’ cards with a stranger. Think he was quite glad ter get rid of it, ter be honest.’ (170); This event occurs during or right after the Easter Holidays which occur ""ten weeks"" (167) before exams at the end of June.",,,,T,,T,T,,
23,Hagrid gets a dragon egg,1991-04-18,1991-04-18,T,3rd Person,219,219,,,,,,"‘Won it,’ said Hagrid. ‘Las’ night. I was down in the village havin’ a few drinks an’ got into a game o’ cards with a stranger. Think he was quite glad ter get rid of it, ter be honest.’ (170); This event occurs during or right after the Easter Holidays which occur ""ten weeks"" (167) before exams at the end of June.",,,,T,,T,T,,
24,Norbert is born,1991-04-24,1991-04-24,T,3rd Person,172,172,,,,,,"“Something about the smile lurking on Malfoy’s face during the next week made Harry, Ron and Hermione very nervous” (172); This date is approximate and found on many fan sites, it would have happened after Easter holidays.",T,,,T,,T,T,,
25,Charlie's friends take Norbert,1991-05-11,1991-05-11,T,3rd Person,173,173,,,,,,"""Wednesday night found Hermione and Harry sitting alone in the common room, long after everyone else had gone to bed"" (173) when they receive Charlie
's reply. He says “I think the best thing will be to send him over with some friends of mine who are coming to visit me next week. Trouble is, they mustn’t be seen carrying an illegal dragon [...]midnight on Saturday?” (173). Based on Ron's language in the infirmary, when he says ""Midnight on Saturday!"" (174) instead of ""tomorrow,"" we approximated the TT to be at least two days prior.",T,,T,,,,,,
25,Charlie's friends take Norbert,1991-05-11,1991-05-11,T,3rd Person,174,174,,,,,,"""Wednesday night found Hermione and Harry sitting alone in the common room, long after everyone else had gone to bed"" (173) when they receive Charlie
's reply. He says “I think the best thing will be to send him over with some friends of mine who are coming to visit me next week. Trouble is, they mustn’t be seen carrying an illegal dragon [...]midnight on Saturday?” (173). Based on Ron's language in the infirmary, when he says ""Midnight on Saturday!"" (174) instead of ""tomorrow,"" we approximated the TT to be at least two days prior.",T,,T,,,,,,
26,McGonagall gives Harry and Hermione detention,1991-05-12,1991-05-12,T,3rd Person,178,178,,,,,,"We know from Charlie's letter that Charlie's friends showed up at the astronomy tower at about midnight on a Saturday. It is 1 AM when McGonagall gives them detention; ""Four students out of bed in one night!” (178)

",T,,T,,T,,,,
27,Detention in the Forbidden Forest ,1991-05-26,1991-05-26,T,3rd Person,181,189,,,,,,"About a week before the exams were due to start” (179) - harry hears Quirrell talking to “himself,"" and the following morning McGonagall sends a missive that states ""Your detention will take place at eleven o’clock tonight"" (181); “‘Mars is bright tonight,’ Ronan repeated while Hagrid watched him impatiently. ‘Unusually bright.’” (185)): Mars at this time in 1991 would have been really hard to see, so this statement could be used as evidence due to its “unusual brightness”
",T,,T,T,,,,,
27,Detention in the Forbidden Forest ,1991-05-26,1991-05-26,T,3rd Person,213,213,,,,,,"About a week before the exams were due to start” (179) - harry hears Quirrell talking to “himself,"" and the following morning McGonagall sends a missive that states ""Your detention will take place at eleven o’clock tonight"" (181); “‘Mars is bright tonight,’ Ronan repeated while Hagrid watched him impatiently. ‘Unusually bright.’” (185)): Mars at this time in 1991 would have been really hard to see, so this statement could be used as evidence due to its “unusual brightness”
",T,,T,T,,,,,
28,Harry confronts Quirrell/Voldemort,1991-06-04,1991-06-04,T,3rd Person,209,214,,,,,,"The confrontation takes place after final exams: “Their very last exam was History of Magic [...]and they’d be free, free for a whole wonderful week until their exam results came out.” (192)
“In years to come, Harry would never quite remember how he had managed to get through his exams when he half expected Voldemort to come bursting through the door at any moment.” (191)
",T,,,,,T,T,,
29,Dumbledore visits Harry in Hospital Wing,1991-06-08,1991-06-08,T,3rd Person,215,215,,,,,,Harry asks Dumbledore how long he has been unconscious: ‘How long have I been in here?’ ‘Three days.’” (215).,T,,,,,,,,
30,End of term feast,1991-06-09,1991-06-09,T,3rd Person,219,220,,,,,,"After the feast, Harry remarks that he ""had almost forgotten that the exam results were still to come, but come they did” 
(222) which places the confrontation and final feast within the same week the students have off after their last exam. Logic reasons that the results would come out on a weekday.",T,T,T,,,,,,
