character_id,character_name
403,very young woman
404,Albert
405,Warrior's four wives
406,warrior's sixty-two grandchildren
407,die-hards from Phoenix Faction
408,Cora (Lou's travel agent)
409,Franz Boas
410,Bronisław Malinowski
411,John Murra
412,Claude Lévi-Strauss
413,Kikuyu drivers
414,Mindy's four insomniac roomates
415,Chronos
416,Chronos's girlfriend
417,Mad Hatter's guitarist
418,Mad Hatter's guitarist's girlfriend
419,Dean
420,Joe (Lulu's Husband)
421,"""girl"" (at the end of the novel)"
422,Foxey Lady
423,English Surgeon
424,Albert's Mother
425,Louise
426,Dean's four adult children
427,Louise's three teenagers
428,twin boy 1
429,twin boy 2
430,African men in suits
431,Mexican cult leader
432,"series of feckless, domineering men (80)"
433,a Phoenix Faction mom
434,Charlie's son
435,Lou Kline's maid
436,Jocelyn's three children
437,Rhea's second child
438,Nadine (Rhea's oldest daughter)
439,Lou Kline's nurse-butler
440,Rhea's third child
441,Dave Brubeck
443,Sammy
444,Dave
445,Dry-cleaner gal
447,Hudson News employee
448,"""a blond gal"""
449,man in waiting room
450,woman in waiting room
451,male junkie
452,female junkie
453,Runner
456,sister of one of Bennie's artists
457,Kathy
458,Bennie Salazar's parents
459,Bennie Salazar's grandmother
460,Bennie Salazar's four sisters
461,pianist
462,two girls from kindergarten
463,Duck (hedge-fund manager)
464,Clay (Kathy's Husband)
465,Colin (Kathy's son)
466,Bill Duff
467,Another couple
468,Scooter
469,Noreen
470,Noreen's three daughters
471,Kitty Jackson's Defense Attorney
472,Jury at Kitty Jackson's trial
473,Stephanie & Jules' parents
474,Stephanie's freshman suitemate
475,Jules's three roomates
476,photographer
477,Picasso
478,purse designer
479,Stephanie's cleaning woman
480,The General
481,Arc
482,Muammar Qaddafi
483,Truman Capote
484,La Doll's 500 guests
485,Malcolm Forbes
486,"""iconic actor"""
487,überpowerful producer
488,überpowerful producer's wife
489,Dorothy Gale
490,Lulu's grandmother
491,Lulu's school friends
492,general's airline hostess
493,the driver
494,starfruit vendor
495,group of men
496,tea shop waiter
499,Santa Claus
501,The General's soldiers
502,Kate Spade
503,photo print shop guy
504,paparazzi
505,General G
506,General A
507,General L
508,General P
509,General Y
510,Lulu's new friends
511,"""last year's Pitters"""
512,Rhea's cousins
513,Strangers at Vanessi's
514,Punk rockers
515,East Village females
517,well-dressed individuals
518,one of Bennie's artists
519,Magritte
520,pedestrians
521,one of The General's drivers
522,Dolly's movie-star client
523,vendors
524,Lexington Ave shopkeepers
525,The General's Human Relations Cpt.
526,news reporters
527,travelling New Yorkers
528,"""some people"" (in the picture)"
529,"""concert-goers"""
530,Nixon (the horse)
531,Whiskers
532,Duane Reade
