
"id","Name <br />(100 chars)"
"85","Marn Wolde's Second Brother"
"120","Marn's copperhead"
"119","Marn's diamondback"
"136","Mary (biblical figure)"
"131","Mrs. Bannock"
"196","Mrs. L"
"197","Mrs. L's ""little boy"""
"163","Murdo Harp"
"72","Neighbours (of Maude Black)"
"27","Neve Harp"
"130","Neve Harp's potential Stepchildren"
"129","Neve Harp's potential third Husband"
"128","Neve Harp's second Husband"
"204","Nonette"
"206","Nonette's cousin"
"208","Nonette's father"
"207","Nonette's mother"
"205","Nonette's roommates"
"12","Norwegian Settlers"
"145","Nuns (who work at the sanatorium)"
"198","Nurse (who was going off duty)"
"200","Nurses at the state mental hospital"
"29","Octave Harp"
"38","Off-Reservation Dentist"
"213","Old Buffalo Hunters"
"102","Old Retired Priest"
"65","Oric Hoag"
"194","Other aides (at the state mental hospital)"
"32","Other Children (in school with Evelina)"
"107","Other Cousins (Evelina and Joseph's)"
"177","Other freshmen"
"140","Other Teachers (at Evelina's school)"
"43","Ott Black"
"178","Parents of freshmen"
"199","Patients at the state mental hospital"
"106","Peace Cousins"
"141","People (Seraph inspects in the front yard)"
"168","People who stick gum under the table"
"195","Person (next to Evelina in the staff dormitory)"
"191","Poet (who said he was going underground)"
"167","Police (""Cops"")"
"209","Policeman (who brings Warren back)"
"93","Pope John XXII"
"25","Priest (who Agathe left the convent for)"
"100","Priests (who threatened Louis Riel's followers)"
"148","Quintus Fells (Sheriff)"
"75","Satan"
"86","Seraph and Junesse's other children"
"134","Seraph and Shamengwa's ""cronies"""
"15","Seraph Milk (Mooshum)"
"95","Seraph Milk's Mother"
"9","Severine Milk"
"13","Severine Milk's Parishioners"
"61","Shamengwa Milk"
"132","Shamengwa's Wife"
"135","Sister Mary Anita Buckendorf"
"192","Students at UND"
"187","Sylvia Plath"
"62","TEST"
"91","The ""black-haired"" Stooge"
"137","The Apostles"
"161","The Bwaanag"
"117","The Kindred"
"45","The Lochren Family"
"49","The Lochren Murder"
"50","The Lynching"
"174","The Mormons"
"175","The old women"
"152","Tobek Hess"
"157","Townsmen (involved in the lynching)"
"121","Train car passengers"
"142","Tribal Police"
"20","Uncle Whitey"
"118","Virginie"
"8","Warren Wolde"
"54","Warren Wolde's Father"
"68","William Hotchkiss"
"69","Woman (murdered a couple farms over)"
"30","Woman (Octave drowned himself over)"
"149","Women of Pluto"
"138","Zorro (fictional character)"
