modularity_class,community_size,leader_id,leader_label,leader_strength,leader_size,other_large_nodes,assigned_color,notes
5,1,132,"""a teacher"" (87)",0.0000,10.00,,,
6,1,91,"""a white lady"" at the nail salon (68)",0.0000,10.00,,,
7,1,162,"""a young girl named Samantha"" (108)",0.0000,10.00,,,
8,1,101,"""Ada, the palm reader"" (74)",0.0000,10.00,,,
9,1,168,"""all the girls on the playground"" (113)",0.0000,10.00,,,
10,1,82,"""all the parents"" (61)",0.0000,10.00,,,
11,1,388,"""Brothers""(141)",0.0000,10.00,,,
12,1,390,"""Children""(141)",0.0000,10.00,,,
13,1,110,"""chubby white boy with red hair"" (77)",0.0000,10.00,,,
14,1,387,"""Cousins"" (141)",0.0000,10.00,,,
15,1,391,"""Daddies"" (141)",0.0000,10.00,,,
16,1,178,"""each student"" (117)",0.0000,10.00,,,
17,1,169,"""families with lighter skin"" (113)",0.0000,10.00,,,
18,1,164,"""fat kids"" (108)",0.0000,10.00,,,
19,1,386,"""Fathers"" (141)",0.0000,10.00,,,
20,1,126,"""four gangly teens"" (84)",0.0000,10.00,,,
21,1,19,"""grade three classmates"" (24)",0.0000,10.00,,,
22,1,33,"""her mother in law"" (36)",0.0000,10.00,,,
23,1,266,"""Hilda""",0.0000,10.00,,,
24,1,95,"""his friends who came over"" (72)",0.0000,10.00,,,
25,1,111,"""his grandma"" (78)",0.0000,10.00,,,
26,1,75,"""hungry people"" (57)",0.0000,10.00,,,
27,1,22,"""Indian kids"" (26)",0.0000,10.00,,,
28,1,215,"""Kids"" (at the Woodbine Racetrack) (138)",0.0000,10.00,,,
29,1,100,"""Maurie, the bus driver"" (74)",0.0000,10.00,,,
30,1,195,"""moneyed folks"" (129)",0.0000,10.00,,,
31,1,389,"""Mother[s]"" (141)",0.0000,10.00,,,
32,1,118,"""niece"" (80)",0.0000,10.00,,,
33,1,98,"""nosy people"" (73)",0.0000,10.00,,,
34,1,99,"""old ladies"" (73)",0.0000,10.00,,,
35,1,56,"""older kids"" (33)",0.0000,10.00,,,
36,1,173,"""one and one-half parents"" (114)",0.0000,10.00,,,
37,1,52,"""one elderly woman"" (32)",0.0000,10.00,,,
38,1,197,"""one mother"" (130)",0.0000,10.00,,,
39,1,213,"""other unsupervised children"" (138)",0.0000,10.00,,,
40,1,172,"""our fathers"" (114)",0.0000,10.00,,,
41,1,175,"""our grandmothers"" (114)",0.0000,10.00,,,
42,1,127,"""P*kis""",0.0000,10.00,,,
43,1,214,"""parents"" (at the Woodbine Racetrack) (138)",0.0000,10.00,,,
44,1,190,"""poor brown and Black parents"" (126)",0.0000,10.00,,,
45,1,133,"""several toddlers"" (87)",0.0000,10.00,,,
46,1,174,"""siblings from different dads"" (114)",0.0000,10.00,,,
47,1,323,"""Single mamas""",0.0000,10.00,,,
48,1,114,"""smiling black women in shower caps"" (79)",0.0000,10.00,,,
49,1,385,"""Social workers"" (141)",0.0000,10.00,,,
50,1,181,"""some black boy"" (118)",0.0000,10.00,,,
51,1,191,"""some lady in a pantsuit"" (126)",0.0000,10.00,,,
52,1,157,"""some lawyer on TV"" (103)",0.0000,10.00,,,
53,1,196,"""some of the caregivers"" (130)",0.0000,10.00,,,
54,1,159,"""spies disguised as waiters"" (on TV)(105)",2.0000,10.87,,,
55,1,180,"""the band English Beat"" (118)",0.0000,10.00,,,
56,1,204,"""the band Kiss"" (131)",0.0000,10.00,,,
57,1,63,"""the boys"" (Cory's friends)",0.0000,10.00,,,
58,1,221,"""the driver"" (140)",0.0000,10.00,,,
59,1,176,"""the hooligans"" (114)",0.0000,10.00,,,
60,1,209,"""the nurses"" (135)",0.0000,10.00,,,
61,1,105,"""the people sitting across from him"" (73)",0.0000,10.00,,,
62,1,188,"""the rest of the tenants"" (125)",0.0000,10.00,,,
63,1,81,"""the school-agers"" (61)",0.0000,10.00,,,
64,1,177,"""the students in Mrs Landau's class"" (117)",0.0000,10.00,,,
65,1,211,"""the surgeon""(135)",0.0000,10.00,,,
66,1,163,"""the zookeeper"" (in story) (108)",0.0000,10.00,,,
67,1,219,"""their families"" (139)",0.0000,10.00,,,
68,1,80,"""their parents"" (60)",0.0000,10.00,,,
69,1,79,"""three toddlers"" (60)",0.0000,10.00,,,
70,1,393,"""towelheads""",0.0000,10.00,,,
71,1,170,"""two whole parents with two whole jobs"" (113)",0.0000,10.00,,,
72,1,392,"""Uncle[s]"" (141)",0.0000,10.00,,,
73,1,171,"""we the brown kids"" (114)",0.0000,10.00,,,
74,1,108,"""white kids"" (77)",0.0000,10.00,,,
76,1,135,"a baby",0.0000,10.00,,,
77,1,134,"a caregiver",0.0000,10.00,,,
78,1,138,"American Idol judges",0.0000,10.00,,,
79,1,50,"Amina Mohammed",0.0000,10.00,,,
80,1,142,"Anna Maria De Souza",0.0000,10.00,,,
81,1,206,"Anna's daughter",0.0000,10.00,,,
82,1,156,"arts kids",0.0000,10.00,,,
83,1,218,"Atheists",0.0000,10.00,,,
84,1,145,"Benjamin Tate",0.0000,10.00,,,
85,1,165,"Blackfoot Indigenous group",0.0000,10.00,,,
86,1,306,"Bob Marley",0.0000,10.00,,,
87,1,348,"Bullfighters in Spain",0.0000,10.00,,,
89,1,233,"Caribbean People",0.0000,10.00,,,
90,1,192,"Celene Dion",0.0000,10.00,,,
91,1,292,"Celine Dion",0.0000,10.00,,,
92,1,355,"Charlie (and the Chocolate Factory)",0.0000,10.00,,,
93,1,271,"Children in Africa",0.0000,10.00,,,
94,1,283,"Children who did not yet observe Communion",0.0000,10.00,,,
95,1,294,"Children who survived the fire",0.0000,10.00,,,
96,1,23,"Children's Aid (25)",0.0000,10.00,,,
97,1,154,"children's choir",0.0000,10.00,,,
98,1,53,"Chloe Smith",0.0000,10.00,,,
99,1,193,"Christians",0.0000,10.00,,,
100,1,234,"Cindy's friend (with Guyanese roots)",0.0000,10.00,,,
101,1,235,"Cindy's Friend's Wife",0.0000,10.00,,,
102,1,257,"Cindy's landlord",0.0000,10.00,,,
103,1,230,"Cindy's Mother",0.0000,10.00,,,
104,1,232,"Cindy's other children",0.0000,10.00,,,
105,1,237,"Cindy's teachers",0.0000,10.00,,,
106,1,40,"Cory's boss",0.0000,10.00,,,
107,1,129,"Cory's father",0.0000,10.00,,,
108,1,297,"Creator",0.0000,10.00,,,
109,1,322,"Dads (""who lose their kids..."")",0.0000,10.00,,,
110,1,356,"Dr. Berger's Receptionist",0.0000,10.00,,,
112,1,351,"Edna's family",0.0000,10.00,,,
114,1,238,"El Salvadorians",0.0000,10.00,,,
116,1,305,"Elders",0.0000,10.00,,,
117,1,228,"Eunice (Cindy's Aunt)",0.0000,10.00,,,
118,1,252,"Europeans",0.0000,10.00,,,
119,1,161,"farmers",0.0000,10.00,,,
120,1,282,"Father Joseph",0.0000,10.00,,,
122,1,46,"Finnegan Everson",0.0000,10.00,,,
123,1,287,"Firemen",0.0000,10.00,,,
124,1,347,"Frank Sinatra",0.0000,10.00,,,
125,1,302,"Funding and Development Officer",0.0000,10.00,,,
126,1,231,"Gabby",0.0000,10.00,,,
127,1,210,"Hina's classmates (135)",0.0000,10.00,,,
128,1,151,"Hina's family",0.0000,10.00,,,
129,1,45,"Jennifer Chan",0.0000,10.00,,,
130,1,184,"Jessica's grandma",0.0000,10.00,,,
131,1,203,"Jimi Hendrix",0.0000,10.00,,,
132,1,249,"Joffrey",0.0000,10.00,,,
133,1,84,"Justin Bieber",0.0000,10.00,,,
134,1,342,"Kids crying from stage fright",0.0000,10.00,,,
135,1,155,"kids in the gifted program",0.0000,10.00,,,
136,1,325,"Kids of ""Single mamas""",0.0000,10.00,,,
137,1,189,"Kids who attended Jessica's daycare (126)",0.0000,10.00,,,
138,1,66,"Kyle Keegan",0.0000,10.00,,,
139,1,186,"L",0.0000,10.00,,,
140,1,335,"Ladies (at the rub and tug)",0.0000,10.00,,,
142,1,131,"Laura's classmates",0.0000,10.00,,,
143,1,49,"Liam Williams",0.0000,10.00,,,
144,1,149,"Liberal Party",0.0000,10.00,,,
145,1,43,"Lily Chan",0.0000,10.00,,,
146,1,247,"Little Cesars",0.0000,10.00,,,
147,1,144,"Luka DiSorono",0.0000,10.00,,,
148,1,301,"Marca Angelo",0.0000,10.00,,,
149,1,73,"marketing and development officer of Ontario Reads",0.0000,10.00,,,
150,1,378,"Men singing and drumming at the Powwow",0.0000,10.00,,,
151,1,93,"men who ""come here for tugs"" (69)",0.0000,10.00,,,
152,1,280,"Menendez sisters' Mother",0.0000,10.00,,,
153,1,201,"Micah the martian",0.0000,10.00,,,
154,1,246,"Michael Jackson",0.0000,10.00,,,
156,1,137,"Mother Mary",0.0000,10.00,,,
157,1,13,"Mrs Abdul",0.0000,10.00,,,
158,1,87,"Mrs Emerson",0.0000,10.00,,,
160,1,20,"Mrs. Falls",0.0000,10.00,,,
161,1,60,"Mrs. Khan",0.0000,10.00,,,
162,1,217,"Muslims",0.0000,10.00,,,
163,1,124,"n****rs",0.0000,10.00,,,
164,1,300,"Natalia Angelo",0.0000,10.00,,,
165,1,148,"NDP Party",0.0000,10.00,,,
166,1,336,"Officer Tyndall's ""girlfriend""",0.0000,10.00,,,
167,1,42,"Ontario Reads facilitators",0.0000,10.00,,,
168,1,72,"Oprah Winfrey",0.0000,10.00,,,
169,1,240,"Pakistanis",0.0000,10.00,,,
170,1,343,"Parents double-fisted with ice cream cones",0.0000,10.00,,,
172,1,146,"Paula Santiago",0.0000,10.00,,,
173,1,65,"Paulo Sanchez",0.0000,10.00,,,
174,1,222,"People ""like Christy"" (141)",0.0000,10.00,,,
176,1,377,"Powwow Dancers",2.0000,10.87,,,
177,1,139,"Priests",0.0000,10.00,,,
178,1,150,"Raj (Hina'a cousin)",0.0000,10.00,,,
180,1,143,"Reese Knowles",0.0000,10.00,,,
184,1,304,"Ryan Hoffman's family",0.0000,10.00,,,
185,1,36,"Saints",0.0000,10.00,,,
186,1,205,"Santa",0.0000,10.00,,,
187,1,254,"Scarborough locals",0.0000,10.00,,,
188,1,373,"School-aged-children",0.0000,10.00,,,
189,1,48,"Sebastian Dennis",0.0000,10.00,,,
190,1,243,"Senior citizens (""who turned their cottages..."")",0.0000,10.00,,,
191,1,324,"Sisters of ""single mamas""",0.0000,10.00,,,
192,1,141,"Sonia DiSorono",0.0000,10.00,,,
193,1,153,"South Asians",0.0000,10.00,,,
194,1,239,"Sri Lankans",0.0000,10.00,,,
195,1,273,"St. Malachy",0.0000,10.00,,,
196,1,318,"Sylvie's Grandpa",0.0000,10.00,,,
197,1,202,"the band Kiss",0.0000,10.00,,,
198,1,89,"the bus driver",0.0000,10.00,,,
199,1,241,"The Chinese",0.0000,10.00,,,
200,1,167,"the Creator",0.0000,10.00,,,
202,1,107,"the orangutan's mother (in story)",0.0000,10.00,,,
203,1,272,"The Queen",0.0000,10.00,,,
204,1,253,"The Swiss",0.0000,10.00,,,
205,1,136,"Tito Ferdie (Bing's uncle)",0.0000,10.00,,,
206,1,350,"Tito Ferdie's Partner",0.0000,10.00,,,
207,1,245,"two refugees from El Salvador",0.0000,10.00,,,
209,1,284,"Victor's mom",0.0000,10.00,,,
210,1,32,"Vietnamese ladies",0.0000,10.00,,,
211,1,376,"Visitors (to the Powwow)",2.0000,10.87,,,
212,1,51,"Waleed Mohammed",0.0000,10.00,,,
213,1,229,"Wendy (Cindy's Aunt)",0.0000,10.00,,,
215,1,109,"white kids' grandparents (77)",0.0000,10.00,,,
216,1,346,"Whitney Houston",0.0000,10.00,,,
217,1,147,"Winston Dunst",0.0000,10.00,,,
219,1,251,"Winsum's cousins",0.0000,10.00,,,
220,1,250,"Winsum's Mother",0.0000,10.00,,,
223,1,140,"Yanna Knowles",0.0000,10.00,,,
224,1,285,"Yanna, Evan, and Tasha's Father",0.0000,10.00,,,
225,1,379,"Youssef",0.0000,10.00,,,
