id,Label,Cat,startPage
1613,"Gerald Bland""s servant",mention,107
1614,Sawmill husband,mention,107
1615,"Herbert Head""s friend (in Havana)",mention,108
1616,"""hicks""",mention,108
1617,"Herbert Head""s sons",mention,109
1618,"""little widow"" (in Cambridge)",mention,110
1619,Galahad,mention,110
1620,"""man"" (with a parrot)",mention,111
1621,"""cousins""",mention,112
1622,"""manicure girls""",mention,112
1623,"""old man"" (eating something)",mention,112
1624,"""they"" (told Quentin his leg has to be broken)",mention,113
1591,Louis Hatcher,mention,114
1626,Martha,mention,114
1454,"""[D]am Squirts"" (Quentin runs around with)",mention,115
1627,"""man"" (who mutilated himself)",mention,115
1628,First boy (Quentin meets on the bridge),mention,117
1629,Second boy (Quentin meets on the bridge),mention,117
1630,Third boy (Quentin meets on the bridge),mention,118
1631,"""man"" (with a $25 horse and wagon)",mention,118
1633,"""fellows"" (scaring all the fish away)",mention,121
1571,First boy (Jason asks to drive his car to Jeffer,mention,122
1634,Little Italian girl,mention,125
1635,"""lady"" (at the Cambridge bakery)",mention,125
1636,Doc Peabody,mention,128
1637,First man (in front of a store),mention,129
1638,Second man (in front of a store),mention,129
1639,Anse,mention,130
1640,"""man"" (at the livery stable)",mention,130
1641,"""man"" (at the postoffice)",mention,130
1642,"""man"" (who showed Quentin the station)",mention,131
1643,Italian woman,mention,131
1644,Boy (who kissed Caddy),mention,133
1556,Natalie,mention,134
1647,Julio,mention,139
1648,Squire,mention,139
1649,First man (holding Julio),mention,139
1650,Second man (holding Julio),mention,139
1651,"""people"" (who follow Quentin and Anse)",mention,141
1653,Miss Holmes,mention,141
1654,Miss Daingerfield,mention,141
1655,Mr. MacKenzie,mention,146
1656,Euboeleus,mention,148
1657,"Gerald Bland""s grandfather",mention,148
1658,Wilkie,mention,148
1659,"""man"" (watching Quentin)",mention,165
1660,"""woman"" (crossed the door)",mention,165
1585,"""Gerald""s women""",mention,166
1652,"""girl"" (with Gerald Bland)",mention,166
1661,Mike,mention,166
1662,"""wench"" (who Gerald stood up)",mention,166
1663,Leda,mention,167
1664,"""woman"" (across the aisle)",mention,169
1506,Black people,mention,170
1665,"""three policemen""",mention,170
1666, Person (who was subdued by three policemen),mention,170
1667,Trolley conductor,mention,171
1668,Moses,mention,174
1669,"""town squirts""",mention,174
1597,Patterson boy,mention,175
1671,"""men""",mention,175
1673,Colonel Sartoris,mention,176
1522,Square students,mention,179
1442,Professor Junkin,mention,180
1680,School Authorities,mention,180
1452,People in the field (playing golf),mention,186
1453,Earl,mention,188
1455,Uncle Job,mention,189
1456,Drummer (who chats with Jason),mention,191
1457,"Eastern jews/""fellows that... in New York""",mention,191
1458,Stock Investors,mention,192
1459,Operator (at telegraph office),mention,193
1460,Doc Wright,mention,193
1461,Hopkins,mention,193
1462,Lorraine,narrator,193
1463,Maid,mention,194
1464,Man (who made money selling rotten goods),mention,194
1472,Customer(s) (at the hardware store),mention,194
1773,Chinese Missionary,mention,194
1465,"""[G]rafters in the Mayor""s office""",mention,195
1466,Lady (customer in the hardware store),mention,195
1496,Doctor,mention,200
1469,Grave diggers,mention,201
1470,Mink,mention,204
1471,People at the livery stable,mention,204
1477,The Band (in town),mention,210
1774,"""Other boys""",mention,211
1775,"""Girl"" (Quentin supposedly owes money)",mention,214
1473,Customer (who comes in with Earl),mention,215
1474,Old Man Simmons,mention,216
1776,Man (at the print shop),mention,216
1475,I.O. Snopes,mention,218
1476,Man (Jason sent to fetch his car),mention,218
2084,Dentist,mention,227
1493,Band member (who can play the saw),mention,230
1478,Buck Turpin,mention,231
1480,Boy with a telegram,mention,234
1481,"Man (Jason talks to at ""the first forks"")",mention,239
1482,Ab Russell,mention,240
1483,Parson Walthall,mention,247
1484,Mac,mention,252
1485,Babe Ruth,mention,252
1487,Little girl (Benjy ran after),mention,263
1507,Sheriff,mention,284
1508,Governer,mention,284
1509,Reverend Shegog,mention,290
1520,People in cabins (who greet Dilsey),mention,291
1526,People in cabins (who stare at Ben),mention,291
1527,Old people (who greet Dilsey),mention,292
1532,Church-goers,mention,292
1534,Choir,mention,292
1535,"""six small children"" ",mention,292
1536,"""The second man"" ",mention,292
1573,People (in Easter Sunday clothes),mention,292
1547,Woman (soprano),mention,295
1548,Mary,mention,296
1561,Myrtle,mention,302
1562,"Myrtle""s husband",mention,302
1563,"Man and Woman passing (the sheriff""s office)",mention,302
1564,Gas station attendant,mention,305
1567,People at the filling station,mention,308
1568,Man (in a dirty apron),mention,308
1569,Man (who runs the show),mention,311
1570,Man (at the drugstore),mention,312
1572,Second boy (Jason asks to drive his car to Jeffe,mention,312
1574,Man (who drives Jason back to Jefferson),mention,313
1575,Group of boys (that talk to Luster),mention,319
2501,Other group of people (Luster tries to impress),mention,319
