Relative Order,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Participating Characters,Harry,Ron,Hermione,Hagrid,Minerva McGonagall,Voldemort,Professor Quirrell,Lily Potter,James Potter,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
7,Dudley’s 11th birthday party,1990-06-23,1990-06-23,F,3rd Person,19,27,1990-06-23,1990-06-23,1990-06-23,1990-06-23,F,"Dudley's birthday was on a ""very sunny Saturday"" (24), and he is older than Harry, as Harry has lived with ""He’d lived with the Dursleys almost ten years, ten miserable years, as long as he could remember, ever since he’d been a baby” (27)",Harry,T,,,,,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,28,28,1990-07-23,1990-07-23,1990-07-23,1990-07-23,F,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",Harry,T,,,,,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,32,33,1990-07-24,1990-07-24,1990-07-24,1990-07-24,F,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",Harry,T,,,,,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,33,33,1990-07-25,1990-07-25,07-25-1990,07-25-1990,F,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",Harry,T,,,,,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,34,34,1990-07-27,1990-07-27,07-27-1990,1990-07-29,F,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",Harry,T,,,,,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,34,34,1990-07-28,1990-07-28,07-28-1990,1990-07-29,F,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",Harry,T,,,,,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,34,34,1990-07-29,1990-07-29,1990-07-29,1990-07-29,F,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",Harry,T,,,,,,,,,,,,
8,Letters for Harry arrive,1990-07-23,1990-07-30,F,3rd Person,36,36,1990-07-30,1990-07-30,1990-07-30,1990-07-30,F,"The first letter arrives “by the time he was allowed out of his cupboard again, the summer holidays had started [...] One day in July - They heard the click of the letter-box and flop of letters on the doormat""; the letters continue to arrive every day of the week until Harry's birthday, when Hagrid hand delivers it.
",Harry,T,,,,,,,,,,,,
9,Harry's 11th Birthday,1990-07-31,1990-07-31,F,3rd Person,36,36,1990-07-30,1990-07-30,1990-07-30,1990-07-30,F,"Harry thinks “then tomorrow, Tuesday, was Harry’s eleventh birthday"" which led to the understanding that the year was 1990. However, several sources argue that Harry's 11th birthday took place in 1991 which is solidified by later texts. For the purpose of this timegraph we have chosen to use the 1990 calendar. His birthday is also the day Voldemort/Quirrell breaks into Gringotts.",Harry,T,,,,,,,,,,,,
9,Harry's 11th Birthday,1990-07-31,1990-07-31,F,3rd Person,38,38,1990-07-30,1990-07-30,1990-07-30,1990-07-30,F,"Harry thinks “then tomorrow, Tuesday, was Harry’s eleventh birthday"" which led to the understanding that the year was 1990. However, several sources argue that Harry's 11th birthday took place in 1991 which is solidified by later texts. For the purpose of this timegraph we have chosen to use the 1990 calendar. His birthday is also the day Voldemort/Quirrell breaks into Gringotts.",Harry,T,,,,,,,,,,,,
9,Harry's 11th Birthday,1990-07-31,1990-07-31,F,3rd Person,40,40,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"Harry thinks “then tomorrow, Tuesday, was Harry’s eleventh birthday"" which led to the understanding that the year was 1990. However, several sources argue that Harry's 11th birthday took place in 1991 which is solidified by later texts. For the purpose of this timegraph we have chosen to use the 1990 calendar. His birthday is also the day Voldemort/Quirrell breaks into Gringotts.",Harry,T,,,,,,,,,,,,
9,Harry's 11th Birthday,1990-07-31,1990-07-31,F,3rd Person,105,105,1990-09-01,1990-09-01,1990-09-01,1990-09-01,T,"Harry thinks “then tomorrow, Tuesday, was Harry’s eleventh birthday"" which led to the understanding that the year was 1990. However, several sources argue that Harry's 11th birthday took place in 1991 which is solidified by later texts. For the purpose of this timegraph we have chosen to use the 1990 calendar. His birthday is also the day Voldemort/Quirrell breaks into Gringotts.",Harry,T,,,,,,,,,,,,
10,Harry Meets Professor Quirrell,1990-07-31,1990-07-31,F,3rd Person,55,55,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"“‘Professor Quirrell!’ said Hagrid. ‘Harry, Professor Quirrell will be one of your teachers at Hogwarts.’ ‘P-P-Potter,’ stammered Professor Quirrell, grasping Harry’s hand, ‘c-can’t t-tell you how p-pleased I am to meet you.’” (55);
“He’d seen Quirrell there that very day, shaken hands with him in the Leaky Cauldron.” (211)
","Hagrid, Harry, Professor Quirrell, and Voldemort",T,,,T,,T,T,,,,,,
10,Harry Meets Professor Quirrell,1990-07-31,1990-07-31,F,3rd Person,211,211,1991-06-04,1991-06-04,1991-06-04,1991-06-04,T,"“‘Professor Quirrell!’ said Hagrid. ‘Harry, Professor Quirrell will be one of your teachers at Hogwarts.’ ‘P-P-Potter,’ stammered Professor Quirrell, grasping Harry’s hand, ‘c-can’t t-tell you how p-pleased I am to meet you.’” (55);
“He’d seen Quirrell there that very day, shaken hands with him in the Leaky Cauldron.” (211)
","Hagrid, Harry, Professor Quirrell, and Voldemort",T,,,T,,T,T,,,,,,
11,Harry enters Diagon Alley,1990-07-31,1990-07-31,F,3rd Person,43,43,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"While Hagrid does write that he is “taking [Harry] to buy his things tomorrow"" it is already past midnight, so technically sleeping until “tomorrow"" would make the date they arrive at Diagon Alley July 31. ",Hagrid and Harry,T,,,T,,,,,,,,,
11,Harry enters Diagon Alley,1990-07-31,1990-07-31,F,3rd Person,56,56,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"While Hagrid does write that he is “taking [Harry] to buy his things tomorrow"" it is already past midnight, so technically sleeping until “tomorrow"" would make the date they arrive at Diagon Alley July 31. ",Hagrid and Harry,T,,,T,,,,,,,,,
12,Hagrid removes Philosopher’s Stone from Gringotts,1990-07-31,1990-07-31,F,3rd Person,50,50,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"Hagrid and Harry visit Gringotts together when travelling to Diagon Alley; ""‘An’ I’ve also got a letter here from Professor Dumbledore,’ said Hagrid importantly, throwing out his chest. ‘It’s about the You-Know-What in vault seven hundred and thirteen.’""(57)
 ",Hagrid and Harry,T,,,T,,,,,,,,,
12,Hagrid removes Philosopher’s Stone from Gringotts,1990-07-31,1990-07-31,F,3rd Person,57,57,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"Hagrid and Harry visit Gringotts together when travelling to Diagon Alley; ""‘An’ I’ve also got a letter here from Professor Dumbledore,’ said Hagrid importantly, throwing out his chest. ‘It’s about the You-Know-What in vault seven hundred and thirteen.’""(57)
 ",Hagrid and Harry,T,,,T,,,,,,,,,
12,Hagrid removes Philosopher’s Stone from Gringotts,1990-07-31,1990-07-31,F,3rd Person,59,59,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"Hagrid and Harry visit Gringotts together when travelling to Diagon Alley; ""‘An’ I’ve also got a letter here from Professor Dumbledore,’ said Hagrid importantly, throwing out his chest. ‘It’s about the You-Know-What in vault seven hundred and thirteen.’""(57)
 ",Hagrid and Harry,T,,,T,,,,,,,,,
13,Voldemort attempts to steal Philosopher’s Stone,1990-07-31,1990-07-31,F,3rd Person,80,80,1990-09-01,1990-09-01,09-01-1990,09-01-1990,F,"Ron first informs Harry of the break-in when they are on their way to Hogwarts on September 1st: ""Did you hear about Gringotts? It’s been all over the Daily Prophet, but I don’t suppose you get that with the Muggles– someone tried to rob a high-security vault.’"" Harry then tells Hagrid it happened on his birthday.",Voldemort,,,,,,T,,,,,,,
13,Voldemort attempts to steal Philosopher’s Stone,1990-07-31,1990-07-31,F,3rd Person,105,106,1990-09-07,1990-09-07,1990-09-07,1990-09-07,T,"Ron first informs Harry of the break-in when they are on their way to Hogwarts on September 1st: ""Did you hear about Gringotts? It’s been all over the Daily Prophet, but I don’t suppose you get that with the Muggles– someone tried to rob a high-security vault.’"" Harry then tells Hagrid it happened on his birthday.",Voldemort,,,,,,T,,,,,,,
13,Voldemort attempts to steal Philosopher’s Stone,1990-07-31,1990-07-31,F,3rd Person,211,211,1991-06-04,1991-06-04,1991-06-04,1991-06-04,T,"Ron first informs Harry of the break-in when they are on their way to Hogwarts on September 1st: ""Did you hear about Gringotts? It’s been all over the Daily Prophet, but I don’t suppose you get that with the Muggles– someone tried to rob a high-security vault.’"" Harry then tells Hagrid it happened on his birthday.",Voldemort,,,,,,T,,,,,,,
14,Harry arrives at Hogwarts,1990-09-01,1990-09-01,F,3rd Person,66,66,1990-07-31,1990-07-31,1990-07-31,1990-07-31,F,"Hagrid gives Harry his ""ticket fer Hogwarts,’ he said. ‘First o’ September – King’s Cross” (66).",Harry,T,,,,,,,,,,,,
14,Harry arrives at Hogwarts,1990-09-01,1990-09-01,F,3rd Person,68,68,1990-08-31,1990-08-31,1990-08-31,1990-08-31,F,"Hagrid gives Harry his ""ticket fer Hogwarts,’ he said. ‘First o’ September – King’s Cross” (66).",Harry,T,,,,,,,,,,,,
