id,Title,Level,Start Page,End Page,Narrator,Protagonist,Embed. Type
30,"Cindy","level 2 (sub-section)","143","146","Cindy","[NULL]","[NULL]"
31,"Winsum","level 2 (sub-section)","147","151","Winsum","[NULL]","[NULL]"
32,"Clive","level 2 (sub-section)","153","158","Clive","[NULL]","[NULL]"
33,"Clara","level 2 (sub-section)","159","164","Clara Jane Donohue","[NULL]","[NULL]"
34,"Bing (2) II","level 2 (sub-section)","165","168","Bing/Bernard Espiritu","Bing/Bernard Espiritu","[NULL]"
35,"Victor","level 2 (sub-section)","169","174","Victor","[NULL]","[NULL]"
36,"Lady","level 2 (sub-section)","175","178","Lady Roy","[NULL]","[NULL]"
37,"Ivana","level 2 (sub-section)","179","180","Ivana","[NULL]","[NULL]"
38,"Bing (2) III","level 2 (sub-section)","181","184","Bing/Bernard Espiritu","[NULL]","[NULL]"
39,"Daily Report January 3, 2012","level 2 (sub-section)","185","186","Hina Hassani","[NULL]","Letter"
40,"Jane Fulton <jfulton@ontarioreads.ca> January 4, 2011 12:00 p.m.","level 2 (sub-section)","187","188","Jane Fulton","[NULL]","Letter"
41,"Me <hhassani@ontarioreads.ca> January 4, 2011 2:00 p.m.","level 2 (sub-section)","188","189","Hina Hassani","[NULL]","Letter"
42,"Ryan Hoffman <rhoffman@ontteachersuniondistrict10.ca> January 6 2011 8:35 a.m.","level 2 (sub-section)","189","190","Ryan Hoffman","[NULL]","Letter"
43,"Spring","level 1 (section)","191","242","[NULL]","[NULL]","[NULL]"
44,"Evalyn Chau <echau@ontarioreads.ca> February 12 2011 9:40 a.m.","level 2 (sub-section)","193","193","Evalyn Chau","[NULL]","Letter"
45,"To Whom It May Concern:","level 3 (sub-sub-section)","194","195","Marie Beaudoin","[NULL]","Letter"
46,"Bing (3) I","level 2 (sub-section)","197","201","Bing/Bernard Espiritu","[NULL]","[NULL]"
47,"Sylvie (3) I","level 2 (sub-section)","203","207","Sylvie Beaudoin","[NULL]","[NULL]"
48,"Daily Report April 23, 2012","level 2 (sub-section)","208","210","Hina Hassani","[NULL]","Letter"
49,"Edna","level 2 (sub-section)","211","218","Edna Espiritu","[NULL]","[NULL]"
50,"Bing (3) II","level 2 (sub-section)","219","224","Bing/Bernard Espiritu","[NULL]","[NULL]"
51,"Marie","level 2 (sub-section)","225","225","Marie Beaudoin","[NULL]","[NULL]"
52,"Summer","level 1 (section)","243","256","[NULL]","[NULL]","[NULL]"
53,"Daily Report June 28, 2012","level 2 (sub-section)","245","246","Hina Hassani","[NULL]","Letter"
54,"Sylvie (4) I","level 2 (sub-section)","247","250","Sylvie Beaudoin","[NULL]","[NULL]"
55,"Laura (4) I","level 2 (sub-section)","251","255","Laura Mitkowski","[NULL]","[NULL]"
