id,Event Name,Start Date,End Date,Is Approximate?,Narrator,Start Page,End Page,Start Date TT,End Date TT,Start Page TT,End Page TT,Is Approximate TT?,Evidence,Rafaela,Bobby,Emi,Buzzworm,Manzanar,Gabriel,Arcangel,Sol,The Orange
,Traffic Jam,1998-06-23,1998-06-28,F,Emi,58,,1998-06-23,1998-06-23,58,,F,"“Well, it is pretty stacked up.” Emi looked out all her mirrors. “Red convertible Porsche. Imagine, no L.A. native would buy such a thing. What are the chances? Breathe freeway air and get cancer. Lose your hair. Get jacked easy. Or just get shot straight on. Must be an ex-pat from the East. Came to L.A. to die.”
Gabriel groaned. “Listen, get off at the next exit and pick me up.”
",,,,,,,,,
,Arcangel Takes Orange,1998-06-23,1998-06-23,,Arcangel,75,75,1998-06-23,1998-06-23,75,75,F,“He opened his suitcase and put the orange and the bag of cactus leaves in one corner”,,,,,,,,,
,Bobby receives letter about cousin,1998-06-23,1998-06-23,,Bobby,76,80,1998-06-23,1998-06-23,76,76,F,"“Letter came today. Go figure. Never heard of this cousin, but he’s got it all right: name of Bobby’s dad, name of his mom, name of his uncles. ”.",,,,,,,,,
,Buzzworm buys orange from Margarita,1998-06-23,1998-06-23,,Buzzworm,85,86,1998-06-23,1998-06-23,85,85,F,"“Buzzworm walked away with his bag of peanuts and bananas. Orange in his pocket.""
",,,,,,,,,
,Manzanar is born,1944-01-10,1944-01-10,T,Gabriel,108,114,1998-06-24,1998-06-24,108,108,F,“First sansei born in captivity” [between March 1942 to November 1945],F,F,F,F,T,F,F,F,F
,Manzanar is born,1944-01-10,1944-01-10,T,Gabriel,110,114,1998-06-24,1998-06-24,110,110,F,"""He had created the name out of his birthplace, Manzanar Concentration Camp in the Owens Valley [...] that would have been over fifty years ago, and he looked to be well over fifty.""",F,F,F,F,T,F,F,F,F
,Rafaela marries Bobby,,,T,Bobby,97,102,1998-06-24,1998-06-24,97,97,F,"“First married, he took Rafaela over and got the B plan”",T,T,F,F,F,F,F,F,F
,Sol is born,1996-03-30,1996-03-30,T,Bobby,97,102,1998-06-24,1998-06-24,97,97,F,"“Made her take Tanqui tea. After that, Sol got born. Got born fast.”
“Then, when Sol’s born, they went back” (97)",T,T,,,,,,T,
,Boy dies,1998-06-24,1998-06-24,,Buzzworm,"85, 103","86, 107",1998-06-24,1998-06-24,"85, 103","86, 103",F,"“So you dodged the bullets.”
“No. They curved by me sudden-like.” / “Still that’s what the report said. Direct cause of death: high doses of a very pure form of cocaine and unidentified chemicals found in the stomach and digestive tract, probably ingested orally.” ",,,,,,,,,
,Margarita Dies,1998-06-24,1998-06-24,,Buzzworm,106,107,1998-06-24,1998-06-24,106,107,F,"“Margarita was dead. He got the page. Met the family in a one-room duplex, Pico-Union projects.""
",,,,,,,,,
,"Gabriel interviews Manzanar (17,107)",1998-06-24,1998-06-24,,Gabriel,107,114,1998-06-24,1998-06-24,107,111,F,"""Like Buzzworm promised, I got my interview with the homeless conductor.""",,,,,,,,,
,Rafaela steals organ cooler (118-119),1998-06-24,1998-06-24,,Rafaela,118,119,1998-06-24,1998-06-24,118,119,F,“Racing toward the field of corn with her new possession feeling very heavy”,,,,,,,,,
,"Arcangel/El Gran Mojado challenges SUPERNAFTA (21, 133)",1998-06-24,1998-06-24,,Arcangel,133,134,1998-06-24,1998-06-24,133,134,F,"“I have made a challenge to this super-fake no one has ever seen. If he is indeed the fighter his posters declare, then he will find me. Me, El Gran Mojado!""
",,,,,,,,,
,Arcangel is born,1492-10-12,1492-10-12,,Arcangel,144,148,1998-06-25,1998-06-25,144,144,F,"""I have been traveling a long time."" ""How long?"" ""Five hundred years""",,,,,,,T,,
,Rafaela hugs Sol (148),1998-06-24,1998-06-24,,Rafaela,"148, 267","154, 268",1998-06-25,1998-06-25,"148, 267","148, 268",F,“It’s been less than five minutes. No. It’s been an eternity. I can’t explain it.”,,,,,,,,,
,Time Stops Thursday (137) (noon),1998-06-25,1998-06-25,,Buzzworm,137,141,1998-06-25,1998-06-25,137,137,F,"“The world teeter-tottered. That was as near as Buzzworm could define it. Whoa. Maybe this twenty-four-hour attachment to the waves was doing it. Doing it to his brain. But, on a scale of reality to substance abuse, it was definitely the vision thing. Time stood still momentarily.""
",,,,,,,,,
,"Rafaela mails cooler, calls Gabriel (151)",1998-06-25,1998-06-25,,Gabriel,150,154,1998-06-25,1998-06-25,150,152,F,"“Rafaela heard the screech of the car tires outside before she saw the shadow of the black Jaguar. She spoke quickly, “I’m sending you a package. I was afraid to look. Maybe it’s nothing, but maybe—” She had only seen the man’s eyes. He had only seen hers. But she could not be sure what eyes could betray. “I’ve got to go. Maybe we’d better tell Bobby. Would you?""
",,,,,,,,,
,"Gabriel calls Bobby (26, 160-161)",1998-06-25,1998-06-25,,Gabriel,160,162,1998-06-25,1998-06-25,160,161,F,"“Gabriel’s saying how about this afternoon? Got a minute to talk? He’s between assignments. Has Bobby seen the mess on the freeway? He’s really busy, but—""
",,,,,,,,,
,"Emi meets Buzzworm (27, 165)",1998-06-25,1998-06-25,,Emi,165,167,1998-06-25,1998-06-25,165,167,F,"“Buzzworm moved his stature into full prominence and took a look at Emi. “Balboa, this is your replacement?”",,,,,,,,,
,Arcangel is born,1492-10-12,1492-10-12,F,Arcangel,46,51,1998-06-26,1998-06-26,46,47,F,"“No one knew where he came from,
or how long he had lived,
how many years,
decades,
and yet he seemed a child,
yet not such a child to be without season
nor such an old man to be without reason.”",F,F,F,F,F,F,T,,
,Arcangel is born,1492-10-12,1492-10-12,,Arcangel,198,201,1998-06-26,1998-06-26,198,198,F,"""How old are you?"" ""Quinientos y algunos años."" ""When were you born?"" ""Doce de octubre de mil quatrocientos noventa y dos.""",,,,,,,T,,
,"Buzzworm goes on-air (29, 177)",1998-06-26,1998-06-26,,Emi,177,180,1998-06-26,1998-06-26,177,180,F,"“Cut to station identification and . . . Buzzworm? Emi looked on. He cut an imposing figure. He had a certain charm. “Kerry?” she turned to the tech, “What do you make of this?”",,,,,,,,,
,"Hernando kidnaps Rafaela (30,185)",1998-06-26,1998-06-27,,Rafaela,185,186,1998-06-26,1998-06-26,185,186,F,"“Now the villain of the Jaguar watched for his chance. ”
",,,,,,,,,
,"Arcangel takes Sol (30, 186)",1998-06-26,1998-06-26,,Rafaela,186,186,1998-06-26,1998-06-26,186,186,F,"“Arcangel employed Sol to put the juggled objects away in his suitcase one by one, gently nodding in Rafaela’s direction. The last object was the orange which Sol felt unable to relinquish for a long moment. Rafaela’s eyes pleaded from afar. Arcangel took the boy by the hand and stepped lightly into the bus”",,,,,,,,,
,"Buzzworm receives cooler (32, 194)",1998-06-26,1998-06-26,,Gabriel,194,196,1998-06-26,1998-06-26,194,194,F,“Don’t open it. Give it to Buzzworm. Tell him it’s connected to “C. Juárez.” Let him deal with it.”,,,,,,,,,
,"Rafaela kills Hernando (38, 220-221)",1998-06-27,1998-06-27,,Rafaela,220,222,1998-06-27,1998-06-27,220,221,F,"“As night fell, they began their horrific dance with death, gutting and searing the tissue of their existence, copulating in rage, destroying and creating at once—the apocalyptic fulfillment of a prophecy—blood and semen commingling among shredded serpent and feline remains.”
",,,,,,,,,
,"Gabriel rescues Rafaela (39, 223)",1998-06-27,1998-06-27,,Gabriel,223,228,1998-06-27,1998-06-27,223,224,F,"“As night fell, they began their horrific dance with death, gutting and searing the tissue of their existence, copulating in rage, destroying and creating at once—the apocalyptic fulfillment of a prophecy—blood and semen commingling among shredded serpent and feline remains.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,
,"Bobby walks to the UWC (40, 233)",1998-06-27,1998-06-27,,Bobby,233,233,1998-06-27,1998-06-27,233,233,F,"“ And he better leave now to make it by tomorrow. Not gonna move no machine, no Camaro, through these streets. Used to go everywhere on foot. Knows the alleys and the little streets. ”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,
,"Emi is shot (41, 237)",1998-06-27,1998-06-27,,"Emi, Manzanar","237, 239","237, 240",1998-06-27,1998-06-27,"237, 239","237, 239",F,"“As he pulled her closer, she gasped, “I actually saw them out there aiming for the dish. It’s such a dick in the air, you . . . wouldn’t . . . think . . . they’d . . . miss.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,
,Manzanar goes to Hospital w/ Emi,1998-06-27,1998-06-27,,Manzanar,255,256,1998-06-27,1998-06-27,255,256,F,"“The thing lifted, spun away from the freeway melee and around the Panasonic/Chrysler Coliseum sign. It was 78 degrees, but the time had long been dysfunctional. Manzanar looked up; it was the NewsNow copter requisitioned to save its own. Now, it dipped along the concrete sections of the L.A. River, skirting the Hollywood sign, flitting over the hills.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,
,"The orange travels north (42, 238)",1998-06-27,1998-06-27,,Manzanar,238,240,1998-06-27,1998-06-27,238,239,F,"“The entire City of Angels seemed to have opened its singular voice to herald a naked old man and little boy with an orange followed by a motley parade approaching from the south. Once again, the grid was changing.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,
,"Gabriel sets up newsgroups (43, 246)",1998-06-28,1998-06-28,,Gabriel,246,249,1998-06-28,1998-06-28,246,246,F,"“Maybe it was a net of loose threads, but I was onto it. For every budget, I set up a newsgroup over the net. For example: alt.soc.med.transplants .farming.infants was one; ”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,
,"Bobby and Rafaela reunite (45, 253-254)",1998-06-28,1998-06-28,,"Bobby, Rafaela","253, 267","254, 268",1998-06-28,1998-06-28,"253, 267","254, 268",F,"“But then she saw it: the fine silken thread she knew so well, the one that would lead to the orange and hopefully to Sol. It lay in the dust, occasionally whipping about like a delicate piece of tinsel. One more step and she could grab it. Take it in her hands and twist it about her body, pull herself toward Bobby. She held herself against it and, like a sweeping wave, rode forward.” / 
“The orange.” She’s got a fancy pocketknife knotted in her dress. Hands it to Bobby. “Cut it now!”
",,,,,,,,,
,"Airbags explode (46, 254)",1998-06-28,1998-06-28,,Manzanar,255,256,1998-06-28,1998-06-28,255,256,F,"“And Manzanar, peering cautiously from his higher perch, saw bird’s-eye the inflation of thousands upon thousands of automotive airbags, bursting simultaneously everywhere from their pouches in steering wheels and glove compartments like white poppies in sudden bloom. All the airbags in L.A. ruptured forth, unfurled their white powdered wings against the barrage of bullets, and stunned the war to a dead stop.”

Excerpt From
Tropic of Orange
Karen Tei Yamashita
This material may be protected by copyright.",,,,,,,,,
,"The Ultimate Wrestling Championship - (40, 232) (47, 256-263)",1998-06-28,1998-06-28,,"Bobby, Arcangel","232, 256, 266","233, 263, 268",1998-06-28,1998-06-28,"232, 256, 266","233, 263, 268",F,"“Suddenly he makes her stop. It’s in Spanish this time. Lucha Libre. Gonna be The Ultimate Wrestling Championship. Some dude named El Gran Mojado. ”
/ “One of Arcangel’s many voices boomed from the speakers, “Ladies and gentlemen! Welcome to the Pacific Rim Auditorium here at the very Borders. (And you thought it was a giant bookstore. Ha!) It’s the Ultimate Wrestling Chammmpppionnnnshhhipppp! El Contrato Con América. Sponsored by a generous grant from the Ministry of Multicultures. Brought to you by the CIA, the PRI, the DEA, and the INS . . .”

/ “Pacific Rim Auditorium’s bigger than he thought. He’s late. People already packed in like pay-per-view.”
",,,,,,,,,
,"Sol and Bobby reunite (Bobby catches Orange) (47, 261)",1998-06-28,1998-06-28,,"Arcangel, Bobby","261, 266","262, 268",1998-06-28,1998-06-28,"261, 266","261, 266",F,"“There was the slightest moment of indecision, Bobby wondering how to keep the balloon and catch the orange. But the symphony of the moment spoke for itself as he released the balloon, letting it float into the spotlights, and caught the precious fruit in midair.”
/ “Enmascarado gives him the boy. Throws him an orange too. Sol wants the orange bad.”
",,,,,,,,,
,"Buzzworm stops listening to the radio (48, 265)",1998-06-28,1998-06-28,,Buzzworm,265,265,1998-06-28,1998-06-28,265,265,F,“Buzzworm couldn’t get no satisfaction from radio like this. Only thing he noticed with the jumble was that radio was like one big love song. I love you. You love me. I love myself. We love us. We love the world. We love God. We love ourselves but hate some of you. I hate myself but would love you if. You screwed me and I’m learning to love me or that other one. I loved you so I killed you. Radio was more tripped up than his own mind. He pulled the plug.”,,,,,,,,,
,"Bobby cuts the Orange (49, 267)",1998-06-28,1998-06-28,,Bobby,267,268,1998-06-28,1998-06-28,267,267,F,“Okay. Okay.” He cuts it”,,,,,,,,,
,"Bobby lets go of the lines (49, 268)",1998-06-28,1998-06-28,,Bobby,268,268,1998-06-28,1998-06-28,268,268,F,"“Little by little the slack on the line’s gone. Thing’s stretching tight.”
",,,,,,,,,
,Rafaela sweeps away the animals,,,,,3,14,,,3,4,F,"""rafaela Cortes spent the mornign barefoot...""",,,,,,,,,
